what's the shortest connection between quiddestraße and odeonsplatz?	FindConnection	quiddestraße ve odeonsplatz arasındaki en kısa bağlantı nedir?
what is the cheapest connection between quiddestraße and hauptbahnhof?	FindConnection	quiddestraße ve hauptbahnhof arasındaki en ucuz bağlantı nedir?
what's the shortest way between hauptbahnhof and odeonsplatz?	FindConnection	hauptbahnhof ile odeonsplatz arasındaki en kısa yol nedir?
how can i get from garching to münchner freiheit as fast as possible?	FindConnection	garching'den münchner freiheit'e olabildiğince hızlı nasıl geçebilirim?
what's the cheapest way from neuperlach süd to lehel?	FindConnection	neuperlach süd'den lehel'e en ucuz yol nedir?
how can i get from neuperlach zentrum to karlsplatz as fast as possible?	FindConnection	neuperlach zentrum'dan karlsplatz'a olabildiğince hızlı nasıl gidebilirim?
could you give me the fastest connection between brudermühlstraße and alte heide?	FindConnection	brudermühlstraße ve alte heide arasındaki en hızlı bağlantıyı bana verebilir misin?
is there a train from neuperlach zentrum to garching at 3 pm?	FindConnection	neuperlach zentrum'dan saat 3'te garching'e giden tren var mı?
can you find a connection from olympiazentrum to lehel at 2 pm?	FindConnection	olympiazentrum'dan lehel'e 14: 00'da bir bağlantı bulabilir misin?
i need a connection from harras to karl-preis-platz at 8 am.	FindConnection	Harras'tan karl-preis-platz'a sabah 8'de bir bağlantıya ihtiyacım var.
in need to be at hauptbahnhof at 1 pm, can you search a connection from garching forschungszentrum?	FindConnection	Saat 13: 00'de hauptbahnhof'ta olmanız gerekiyorsa, garching forschungszentrum'dan bir bağlantı arayabilir misiniz?
i need to be in garching at 9	FindConnection	9'da gargara yapmam gerek
can i take a bus from quiddestraße to hauptbahnhof?	FindConnection	quiddestraße'den hauptbahnhof'a otobüs alabilir miyim?
can you find the shortest way from moosfeld to milbertshofen?	FindConnection	moosfeld şehrinden milbertshofen şehrine en kısa yolu bulabilir misiniz?
how can i get to neuperlach süd from garching forschungszentrum?	FindConnection	neuperlach süd'e garching forschungszentrum'dan nasıl ulaşabilirim?
can you find a bus from quiddestraße to lehel?	FindConnection	quiddestraße - lehel arası otobüs bulabilir misiniz?
is there a tram from karlsplatz to lehel?	FindConnection	karlsplatz'dan lehel'e tramvay var mı?
is there a bus from garching to moosach at around 5?	FindConnection	5 civarında garching'den moosach'a otobüs var mı?
is there a bus from odeonsplatz to hauptbahnhof at 3 pm?	FindConnection	odeonsplatz'dan hauptbahnhof'a saat 15: 00'te otobüs var mı?
